Party,First Name,Last Name,Organisation,Position Title,Start Date,End Date,Place name,Preferred Name,Cell phone
AFRICAN NATIONAL CONGRESS,BELINDA FRANCIS,SCOTT,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,LINDIWE CHRISTABOLA,BEBEE,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,NONHLANHLA MILDRED,KHOZA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,HAPPY MAMLILI,BLOSE,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,NHLAKANIPHO,NTOMBELA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,MBALENHLE CLEOPATRA,FRAZER,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,SIPHO JOSEPH,GCABASHE,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,BONGIWE NOMUSA,SITHOLE,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,SIBONISO ARMSTRONG,DUMA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,NOMAGUGU,SIMELANE-ZULU                                ,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,RICHARD THEMBA,MTHEMBU,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,HLOBISILE SALVATORIS,NGXONGO,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,NTUTHUKO MBONGISENI,SIBIYA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,ZANELE MARIA,LUDIDI,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,LINDA XOLELWA HLOBISILE,HLONGWA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,BANGOKWAKHE MADESIUS,ZUMA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,IMPORTANT SAMSON,MKHIZE,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,MAKHONI MARIA,NTULI,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,ALPHA,SHELEMBE,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,NONTEMBEKO NOTHEMBA,BOYCE,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,BHEKIMALI VASCO,HLENGWA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,VUYELWA VIVIAN,TAMBO,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,ZWELIFILE CHRISTOPHER,NTULI,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,GLORIA NONZWAKAZI,SWARTBOOI-NTOMBELA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,SAKHEPHI MDUMISENI MICHAEL,DLOMO,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,NOMFUNDO NTOMBENHLE PENELOPE,MKHULUSI,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,YATIMA MAKHOSAZANA,NAHARA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,FORTUNE KWAZI KWAKHE,BHENGU,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,LIZZIE FIKELEPHI,SHABALALA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,MTHENJWA AMON,ZONDI,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
AFRICAN NATIONAL CONGRESS,ZIBUSE MICHAEL,MLABA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
DEMOCRATIC ALLIANCE,SIZWE WISEMAN,MCHUNU,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
DEMOCRATIC ALLIANCE,MBALI,NTULI,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
DEMOCRATIC ALLIANCE,IMRAN,KEEKA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
DEMOCRATIC ALLIANCE,FRANCOISE ADRIANUS,RODGERS,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
DEMOCRATIC ALLIANCE,RISHIGEN,VIRANNA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
DEMOCRATIC ALLIANCE,MARK HARVEY,STEELE,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
DEMOCRATIC ALLIANCE,HLANGANANI SIPHELELE,GUMBI,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
DEMOCRATIC ALLIANCE,ANN MELLANY,MC DONNELL,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
DEMOCRATIC ALLIANCE,MOHAMMED RAFEEK,SAYEDALI SHAH,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
DEMOCRATIC ALLIANCE,GANESAN,MARI,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
ECONOMIC FREEDOM FIGHTERS,ABEDNIGO VUSUMUZI,KHOZA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
ECONOMIC FREEDOM FIGHTERS,THEMBI PORTIA,MSANE,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
INKATHA FREEDOM PARTY,ELPHAS MFAKAZELENI,BUTHELEZI,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
INKATHA FREEDOM PARTY,MUZIWENKOSI BLESSED,GWALA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
INKATHA FREEDOM PARTY,THEMBENI PETTY,MTHETHWA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
INKATHA FREEDOM PARTY,SUBRAMONEY,MOODLEY,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
INKATHA FREEDOM PARTY,HASSAN FAROUK,MOTALA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
INKATHA FREEDOM PARTY,LIONEL PERCIVAL HERCULES MBEKI,MTSHALI,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
INKATHA FREEDOM PARTY,NCAMISILE JERICH,NKWANYANA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
INKATHA FREEDOM PARTY,MBONGELENI JOSHUA,MAZIBUKO,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
INKATHA FREEDOM PARTY,MNTOMUHLE,KHAWULA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
MINORITY FRONT,SHAMEEN,THAKUR-RAJBANSI,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
NATIONAL FREEDOM PARTY,VIKIZITHA RICHARD,MLOTSHWA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
NATIONAL FREEDOM PARTY,BONGINKOSI STANLEY,DLADLA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
NATIONAL FREEDOM PARTY,PERTUNIA HAPPY,KHUZWAYO,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
NATIONAL FREEDOM PARTY,SIPHO JOHANNES,MDAKANE,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
NATIONAL FREEDOM PARTY,BONGOKWAKHE MTHOKOZISI,NZUZA,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
NATIONAL FREEDOM PARTY,Erickson Mtsheneni,Zungu,KwaZulu-Natal Provincial Legislature,Member,2014-05-21,future,KwaZulu-Natal,,
